=== KẾT QUẢ ĐÁNH GIÁ HỆ THỐNG ===
Tổng số ảnh đánh giá: 1483
Top-1 Accuracy : 0.7087
Top-5 Accuracy : 0.7539
Macro Precision: 0.9317
Macro Recall   : 0.7089
Tổng thời gian : 159.6s
TB mỗi query   : 107.6ms

=== CHI TIẾT ===
File: 10__M_Left_index_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 287, 187, 297, 148] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_ring_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 163, 13, 92, 25] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_ring_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 163, 92, 13, 19] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_thumb_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 111, 139, 130, 79] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_thumb_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 111, 139, 130, 143] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_thumb_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 139, 111, 130, 79] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_index_finger_CR.BMP | True ID: 11 | Top 1: 100 | Top 5: [100, 90, 48, 27, 188] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_index_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 29, 212, 263, 115] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_index_finger_Zcut.BMP | True ID: 11 | Top 1: 188 | Top 5: [188, 242, 192, 71, 189] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_little_finger_CR.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 187, 84, 164, 242] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_little_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 187, 84, 164, 242] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_little_finger_Zcut.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 187, 84, 164, 242] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_middle_finger_CR.BMP | True ID: 11 | Top 1: 163 | Top 5: [163, 199, 289, 87, 208] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_middle_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 276, 258, 13, 280] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_middle_finger_Zcut.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 276, 211, 258, 280] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_ring_finger_CR.BMP | True ID: 11 | Top 1: 10 | Top 5: [10, 268, 208, 52, 180] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_ring_finger_Obl.BMP | True ID: 11 | Top 1: 255 | Top 5: [255, 235, 296, 19, 19] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_ring_finger_Zcut.BMP | True ID: 11 | Top 1: 255 | Top 5: [255, 235, 19, 19, 296] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Left_thumb_finger_CR.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 113, 133, 41, 207] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_thumb_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 26, 280, 281, 50] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Left_thumb_finger_Zcut.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 113, 133, 41, 207] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_index_finger_CR.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 279, 52, 181, 54] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_index_finger_Obl.BMP | True ID: 11 | Top 1: 116 | Top 5: [116, 225, 169, 164, 57] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_index_finger_Zcut.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 279, 181, 52, 54] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_little_finger_CR.BMP | True ID: 11 | Top 1: 250 | Top 5: [250, 241, 285, 225, 28] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_little_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 194, 54, 63, 176] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_little_finger_Zcut.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 132, 54, 30, 267] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_middle_finger_CR.BMP | True ID: 11 | Top 1: 161 | Top 5: [161, 184, 189, 201, 169] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_middle_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 52, 212, 287, 161] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_middle_finger_Zcut.BMP | True ID: 11 | Top 1: 201 | Top 5: [201, 184, 189, 161, 83] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_ring_finger_CR.BMP | True ID: 11 | Top 1: 93 | Top 5: [93, 208, 269, 271, 43] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_ring_finger_Obl.BMP | True ID: 11 | Top 1: 286 | Top 5: [286, 125, 93, 280, 272] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_ring_finger_Zcut.BMP | True ID: 11 | Top 1: 93 | Top 5: [93, 269, 271, 208, 56] | Top-1 Đúng: False | Top-5 Đúng: False
File: 11__M_Right_thumb_finger_CR.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 220, 198, 100, 199] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_thumb_finger_Obl.BMP | True ID: 11 | Top 1: 11 | Top 5: [11, 100, 224, 137, 29] | Top-1 Đúng: True | Top-5 Đúng: True
File: 11__M_Right_thumb_finger_Zcut.BMP | True ID: 11 | Top 1: 194 | Top 5: [194, 276, 164, 68, 243] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_index_finger_CR.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 211, 247, 119, 263] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Left_index_finger_Obl.BMP | True ID: 12 | Top 1: 84 | Top 5: [84, 295, 20, 17, 168] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_index_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 119, 263, 131, 25] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Left_little_finger_CR.BMP | True ID: 12 | Top 1: 257 | Top 5: [257, 47, 13, 297, 163] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_little_finger_Obl.BMP | True ID: 12 | Top 1: 225 | Top 5: [225, 105, 121, 243, 189] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_little_finger_Zcut.BMP | True ID: 12 | Top 1: 47 | Top 5: [47, 13, 257, 125, 258] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_middle_finger_CR.BMP | True ID: 12 | Top 1: 62 | Top 5: [62, 12, 176, 181, 194] | Top-1 Đúng: False | Top-5 Đúng: True
File: 12__M_Left_middle_finger_Obl.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 112, 299, 143, 143] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Left_middle_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 112, 143, 143, 105] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Left_ring_finger_CR.BMP | True ID: 12 | Top 1: 60 | Top 5: [60, 113, 6, 286, 177] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_ring_finger_Obl.BMP | True ID: 12 | Top 1: 38 | Top 5: [38, 93, 119, 163, 145] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_ring_finger_Zcut.BMP | True ID: 12 | Top 1: 181 | Top 5: [181, 253, 20, 280, 194] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_thumb_finger_CR.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 197, 76, 35, 134] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Left_thumb_finger_Obl.BMP | True ID: 12 | Top 1: 256 | Top 5: [256, 295, 192, 6, 70] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Left_thumb_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 197, 76, 35, 134] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_index_finger_CR.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 256, 291, 85, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_index_finger_Obl.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 256, 49, 291, 85] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_index_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 256, 85, 291, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_little_finger_CR.BMP | True ID: 12 | Top 1: 89 | Top 5: [89, 198, 283, 247, 125] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_little_finger_Obl.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 198, 189, 122, 71] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_little_finger_Zcut.BMP | True ID: 12 | Top 1: 189 | Top 5: [189, 266, 148, 90, 287] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_middle_finger_CR.BMP | True ID: 12 | Top 1: 189 | Top 5: [189, 148, 287, 24, 266] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_middle_finger_Obl.BMP | True ID: 12 | Top 1: 148 | Top 5: [148, 24, 189, 287, 266] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_middle_finger_Zcut.BMP | True ID: 12 | Top 1: 189 | Top 5: [189, 148, 287, 24, 266] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_ring_finger_CR.BMP | True ID: 12 | Top 1: 81 | Top 5: [81, 263, 295, 252, 103] | Top-1 Đúng: False | Top-5 Đúng: False
File: 12__M_Right_ring_finger_Obl.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 279, 65, 112, 45] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_ring_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 279, 45, 65, 112] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_thumb_finger_CR.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 267, 80, 199, 97] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_thumb_finger_Obl.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 199, 80, 267, 113] | Top-1 Đúng: True | Top-5 Đúng: True
File: 12__M_Right_thumb_finger_Zcut.BMP | True ID: 12 | Top 1: 12 | Top 5: [12, 80, 199, 267, 97] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_index_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 163, 125, 152, 280] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_index_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 125, 280, 163, 276] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_index_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 163, 125, 280, 79] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_little_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 96, 300, 289, 42] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_little_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 96, 289, 42, 32] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_little_finger_Zcut.BMP | True ID: 13 | Top 1: 14 | Top 5: [14, 245, 179, 2, 184] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Left_middle_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 36, 94, 33, 239] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_middle_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 152, 38, 87, 104] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_middle_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 152, 281, 38, 38] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_ring_finger_CR.BMP | True ID: 13 | Top 1: 266 | Top 5: [266, 241, 192, 241, 266] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Left_ring_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 43, 163, 272, 38] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_ring_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 43, 210, 131, 38] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_thumb_finger_CR.BMP | True ID: 13 | Top 1: 213 | Top 5: [213, 172, 299, 272, 6] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Left_thumb_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 296, 272, 6, 191] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Left_thumb_finger_Zcut.BMP | True ID: 13 | Top 1: 213 | Top 5: [213, 272, 6, 172, 299] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_index_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 235, 1, 168, 58] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_index_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 1, 46, 35, 78] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_index_finger_Zcut.BMP | True ID: 13 | Top 1: 143 | Top 5: [143, 208, 130, 256, 237] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_little_finger_CR.BMP | True ID: 13 | Top 1: 97 | Top 5: [97, 126, 96, 30, 141] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_little_finger_Obl.BMP | True ID: 13 | Top 1: 105 | Top 5: [105, 174, 37, 296, 51] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_little_finger_Zcut.BMP | True ID: 13 | Top 1: 16 | Top 5: [16, 168, 37, 296, 117] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_middle_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 64, 203, 219, 249] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_middle_finger_Obl.BMP | True ID: 13 | Top 1: 2 | Top 5: [2, 152, 9, 5, 260] | Top-1 Đúng: False | Top-5 Đúng: False
File: 13__F_Right_middle_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 64, 203, 219, 249] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_ring_finger_CR.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 106, 122, 45, 91] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_ring_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 106, 91, 87, 45] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_ring_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 106, 91, 87, 45] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_thumb_finger_CR.BMP | True ID: 13 | Top 1: 293 | Top 5: [293, 13, 73, 61, 42] | Top-1 Đúng: False | Top-5 Đúng: True
File: 13__F_Right_thumb_finger_Obl.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 10, 70, 184, 293] | Top-1 Đúng: True | Top-5 Đúng: True
File: 13__F_Right_thumb_finger_Zcut.BMP | True ID: 13 | Top 1: 13 | Top 5: [13, 10, 88, 70, 181] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_index_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 280, 77, 90, 290] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_index_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 20, 293, 109, 77] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_index_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 77, 293, 90, 18] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_little_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 247, 268, 269, 160] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_little_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 268, 163, 247, 269] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_little_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 247, 268, 269, 160] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_middle_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 129, 293, 296, 82] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_middle_finger_Obl.BMP | True ID: 14 | Top 1: 13 | Top 5: [13, 284, 163, 280, 93] | Top-1 Đúng: False | Top-5 Đúng: False
File: 14__M_Left_middle_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 296, 129, 146, 293] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_ring_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 184, 2, 245, 1] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_ring_finger_Obl.BMP | True ID: 14 | Top 1: 13 | Top 5: [13, 222, 74, 42, 96] | Top-1 Đúng: False | Top-5 Đúng: False
File: 14__M_Left_ring_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 184, 245, 2, 1] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_thumb_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 293, 122, 208, 151] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_thumb_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 293, 208, 122, 8] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Left_thumb_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 293, 122, 208, 151] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_index_finger_CR.BMP | True ID: 14 | Top 1: 128 | Top 5: [128, 161, 14, 218, 57] | Top-1 Đúng: False | Top-5 Đúng: True
File: 14__M_Right_index_finger_Obl.BMP | True ID: 14 | Top 1: 276 | Top 5: [276, 199, 161, 100, 233] | Top-1 Đúng: False | Top-5 Đúng: False
File: 14__M_Right_index_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 294, 139, 52, 208] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_little_finger_CR.BMP | True ID: 14 | Top 1: 50 | Top 5: [50, 138, 14, 242, 295] | Top-1 Đúng: False | Top-5 Đúng: True
File: 14__M_Right_little_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 70, 295, 275, 50] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_little_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 70, 275, 50, 295] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_middle_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 64, 1, 25, 59] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_middle_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 64, 1, 59, 25] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_middle_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 64, 1, 59, 25] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_ring_finger_CR.BMP | True ID: 14 | Top 1: 124 | Top 5: [124, 120, 23, 59, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 14__M_Right_ring_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 256, 146, 22, 170] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_ring_finger_Zcut.BMP | True ID: 14 | Top 1: 124 | Top 5: [124, 23, 120, 59, 69] | Top-1 Đúng: False | Top-5 Đúng: False
File: 14__M_Right_thumb_finger_CR.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 26, 254, 170, 181] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_thumb_finger_Obl.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 170, 70, 26, 254] | Top-1 Đúng: True | Top-5 Đúng: True
File: 14__M_Right_thumb_finger_Zcut.BMP | True ID: 14 | Top 1: 14 | Top 5: [14, 26, 254, 170, 181] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_index_finger_CR.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 44, 47, 48, 254] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_index_finger_Obl.BMP | True ID: 15 | Top 1: 113 | Top 5: [113, 131, 198, 286, 177] | Top-1 Đúng: False | Top-5 Đúng: False
File: 15__F_Left_index_finger_Zcut.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 44, 47, 48, 213] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_little_finger_CR.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 37, 82, 259, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_little_finger_Obl.BMP | True ID: 15 | Top 1: 22 | Top 5: [22, 120, 269, 82, 292] | Top-1 Đúng: False | Top-5 Đúng: False
File: 15__F_Left_little_finger_Zcut.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 37, 49, 259, 142] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_middle_finger_CR.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 87, 249, 147, 142] | Top-1 Đúng: True | Top-5 Đúng: True
File: 15__F_Left_middle_finger_Obl.BMP | True ID: 15 | Top 1: 15 | Top 5: [15, 87, 240, 142, 249] | Top-1 Đúng: True | Top-5 Đúng: True
